# g4beamline profile
#Z N meanX sigmaX meanY sigmaY emitX emitY emitTrans betaX betaY betaTrans alphaX alphaY alphaTrans meanP
#mm - mm mm mm mm mm-rad mm-rad mm-rad mm mm mm - - - MeV/c
1190.0 1 -58.157 0.000 3.400 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1195.0 1 -53.221 0.000 -1.013 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1200.0 1 -47.305 0.000 -4.133 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1205.0 2 49.193 89.957 5.462 11.183 4.223e-05 -nan(ind) 6.947e-06 6.002e+10 9.276e+08 3.047e+10 -5.2e+08 -2.584e+07 -2.729e+08 39.5
1210.0 2 55.161 89.172 6.334 11.976 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 39.5
1215.0 2 61.012 88.503 8.056 11.936 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 39.5
1220.0 2 66.531 88.164 10.573 11.115 5.972e-05 2.639e-06 6.947e-06 5.761e+10 9.156e+08 2.926e+10 -5.271e+08 -1.774e+07 -2.724e+08 39.5
1225.0 2 71.524 88.349 13.775 9.621 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 39.5
1230.0 2 75.833 89.216 17.507 7.609 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 39.5
1235.0 2 79.347 90.877 21.577 5.270 -nan(ind) 1.98e-06 9.613e-06 4.425e+10 1.488e+08 2.22e+10 -4.38e+08 -4.664e+06 -2.213e+08 39.5
