#BLTrackFile VirtualDetector/ParyleneN_Foil
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
2.8277 4.13017 -0.9999 -0.621173 1.84268 -12.2471 538.536 -2212 31 1 0 1
-1.41381 1.78732 -1.0001 -0.0221432 -0.0102004 13.6163 0.914348 -2212 32 1 0 1
-1.52088 1.37869 -0.9999 0.70841 0.330384 -12.5133 530.863 -2212 32 1 0 1
0.0230078 1.11794 -1.0001 -0.100124 -0.140594 13.6546 0.913763 -2212 33 1 0 1
-0.735254 0.663513 -0.9999 -0.0890017 -1.05354 -12.5581 528.333 -2212 33 1 0 1
3.21714 3.61657 -1.0001 0.0436515 -0.111134 13.6069 0.916095 -2212 34 1 0 1
4.97219 3.17732 -0.9999 1.36433 2.17663 -12.3149 533.501 -2212 34 1 0 1
-1.77908 -4.00535 -1.0001 0.198415 -0.0882866 13.6437 0.915556 -2212 35 1 0 1
-3.2645 -4.04422 -0.9999 -0.0522195 -2.22895 -12.2901 535.809 -2212 35 1 0 1
-0.774687 0.025462 -1.0001 -0.00174618 -0.0187445 13.6882 0.914096 -2212 36 1 0 1
-0.797174 -0.875896 -0.9999 0.686378 0.404571 -12.698 522.526 -2212 36 1 0 1
-3.03065 -1.03562 -1.0001 -0.0863247 0.225752 13.6527 0.914277 -2212 37 1 0 1
-2.33601 -0.913864 -0.9999 -0.710507 1.12905 -12.4547 531.364 -2212 37 1 0 1
0.108067 0.0351336 -1.0001 0.0889745 0.00673199 13.6633 0.913769 -2212 38 1 0 1
0.0430379 -0.0882613 -0.9999 0.359683 0.3142 -12.3622 537.05 -2212 38 1 0 1
0.0289215 -2.93113 -1.0001 -0.0421582 0.0335188 13.6632 0.915155 -2212 39 1 0 1
0.686034 -3.31289 -0.9999 -0.457363 0.11806 -12.577 529.001 -2212 39 1 0 1
-2.90764 1.08774 -1.0001 0.0737347 0.0283039 13.6242 0.915162 -2212 40 1 0 1
-2.72928 1.95304 -0.9999 -1.90744 0.0917384 -12.2957 536.889 -2212 40 1 0 1
3.73525 -1.46844 -1.0001 0.840701 2.21211 13.4638 0.913512 -2212 41 1 0 1
4.9613 -2.02069 -0.9999 1.75514 3.3592 -12.1659 538.287 -2212 41 1 0 1
0.874198 0.891353 -1.0001 0.550946 -0.0454137 13.6039 0.914539 -2212 42 1 0 1
0.359985 1.22598 -0.9999 -0.110824 -0.442519 -12.5194 530.383 -2212 42 1 0 1
5.62304 3.3532 -1.0001 -0.0169582 0.082512 13.5699 0.913785 -2212 43 1 0 1
6.4497 2.9232 -0.9999 2.25996 0.986694 -12.3441 532.799 -2212 43 1 0 1
-3.22208 1.47079 -1.0001 -0.191925 -0.0982426 13.614 0.913414 -2212 44 1 0 1
-3.50346 0.413587 -0.9999 0.696918 -0.814899 -12.6276 525.26 -2212 44 1 0 1
0.387684 -1.59171 -1.0001 -0.154163 -0.307494 13.6012 0.914523 -2212 45 1 0 1
1.01477 -1.24314 -0.9999 -1.40172 0.235866 -12.5938 525.905 -2212 45 1 0 1
5.63444 2.36049 -1.0001 0.0826616 -0.117278 13.6444 0.912874 -2212 46 1 0 1
5.07821 1.1412 -0.9999 2.57861 -0.749045 -12.3721 530.136 -2212 46 1 0 1
2.25644 -0.798194 -1.0001 0.404627 0.119316 13.6332 0.91402 -2212 47 1 0 1
2.71611 -0.182344 -0.9999 -0.853121 0.683052 -12.6551 523.505 -2212 47 1 0 1
0.895085 -0.659206 -1.0001 0.163345 0.152345 13.6833 0.913278 -2212 48 1 0 1
1.18195 -0.490593 -0.9999 -0.410137 0.711862 -12.6314 525.035 -2212 48 1 0 1
-3.43361 -2.19976 -1.0001 0.0148365 0.0359772 13.647 0.913798 -2212 49 1 0 1
-3.31093 -1.49188 -0.9999 -1.75634 0.232063 -12.3972 532.589 -2212 49 1 0 1
6.3248 -0.165775 -1.0001 -0.0744613 -0.252576 13.6691 0.91273 -2212 50 1 0 1
