# g4beamline profile
#Z N meanX sigmaX meanY sigmaY emitX emitY emitTrans betaX betaY betaTrans alphaX alphaY alphaTrans meanP
#mm - mm mm mm mm mm-rad mm-rad mm-rad mm mm mm - - - MeV/c
200.0 1 -3.831 0.000 -2.413 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.032
205.0 1 -2.128 0.000 -6.226 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.032
210.0 1 1.909 0.000 -6.440 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.032
215.0 1 4.073 0.000 -2.909 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.032
220.0 1 1.611 0.000 0.467 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.032
225.0 1 -2.382 0.000 -0.169 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.032
230.0 1 -3.758 0.000 -4.075 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.032
235.0 1 -0.642 0.000 -6.860 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.032
240.0 1 3.129 0.000 -5.397 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.032
245.0 1 3.650 0.000 -1.287 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.033
250.0 1 0.015 0.000 0.778 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.033
255.0 1 -3.361 0.000 -1.452 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.033
260.0 1 -2.999 0.000 -5.578 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.033
265.0 1 0.992 0.000 -6.825 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.033
270.0 1 3.818 0.000 -3.927 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.033
275.0 1 2.583 0.000 0.028 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.033
280.0 1 -1.582 0.000 0.396 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.033
285.0 1 -3.724 0.000 -3.040 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.034
290.0 1 -1.671 0.000 -6.640 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.034
295.0 1 2.478 0.000 -6.106 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.034
300.0 1 3.832 0.000 -2.290 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.034
305.0 1 1.053 0.000 0.785 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.034
310.0 1 -2.885 0.000 -0.628 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.034
315.0 1 -3.385 0.000 -4.647 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.034
320.0 1 -0.008 0.000 -7.050 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.034
325.0 1 3.533 0.000 -4.821 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.034
330.0 1 3.152 0.000 -0.787 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.035
335.0 1 -0.665 0.000 0.829 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.035
340.0 1 -3.640 0.000 -2.115 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.035
