           x [mm]           y [mm]           z [mm]         Ex [V/m]         Ey [V/m]         Ez [V/m]
        -7.333335        19.333345       -1059.9354                0                0                0
        -0.666665        19.333345       -1059.9354                0                0                0
         6.000005        19.333345       -1059.9354                0                0                0
        12.666675        19.333345       -1059.9354                0                0                0
        19.333345        19.333345       -1059.9354                0                0                0
       -20.666675       -20.666675       -1053.2687        1301.0582        1301.0581        1148.5676
       -14.000005       -20.666675       -1053.2687         404.3403        2601.0049        3576.2766
        -7.333335       -20.666675       -1053.2687       -49.458363        3022.3215        6058.1528
        -0.666665       -20.666675       -1053.2687        49.439709        3022.3247        6058.1348
         6.000005       -20.666675       -1053.2687       -404.34192        2600.9966        3576.2708
        12.666675       -20.666675       -1053.2687       -1301.0295        1301.0267        1148.5638
        19.333345       -20.666675       -1053.2687                0                0                0
       -20.666675       -14.000005       -1053.2687        2601.0044        404.33966        3576.2776
       -14.000005       -14.000005       -1053.2687        2894.2944        2894.2944        9103.8818
        -7.333335       -14.000005       -1053.2687        768.82666         2713.158        6686.6128
        -0.666665       -14.000005       -1053.2687       -768.81018        2713.1362         6686.668
         6.000005       -14.000005       -1053.2687       -2894.2891        2894.3247        9103.9375
        12.666675       -14.000005       -1053.2687       -2600.9861        404.38885        3576.2522
        19.333345       -14.000005       -1053.2687                0                0                0
       -20.666675        -7.333335       -1053.2687        3022.3215       -49.458153        6058.1523
       -14.000005        -7.333335       -1053.2687         2713.158        768.82672        6686.6123
        -7.333335        -7.333335       -1053.2687        556.28943        556.28943        5690.3735
        -0.666665        -7.333335       -1053.2687       -556.22882        556.30389        5690.4277
         6.000005        -7.333335       -1053.2687       -2713.1609        768.83826        6686.7456
        12.666675        -7.333335       -1053.2687       -3022.3467       -49.435833        6058.1997
        19.333345        -7.333335       -1053.2687                0                0                0
       -20.666675        -0.666665       -1053.2687        3022.3245        49.439735        6058.1348
       -14.000005        -0.666665       -1053.2687        2713.1362       -768.81018        6686.6685
        -7.333335        -0.666665       -1053.2687        556.30389       -556.22882        5690.4277
        -0.666665        -0.666665       -1053.2687       -556.22302       -556.22296        5690.5342
         6.000005        -0.666665       -1053.2687       -2713.1104       -768.83282        6686.6772
        12.666675        -0.666665       -1053.2687       -3022.3665        49.437893        6058.1899
        19.333345        -0.666665       -1053.2687                0                0                0
       -20.666675         6.000005       -1053.2687        2600.9966       -404.34192        3576.2708
       -14.000005         6.000005       -1053.2687        2894.3247       -2894.2891        9103.9375
        -7.333335         6.000005       -1053.2687         768.8382       -2713.1609        6686.7456
        -0.666665         6.000005       -1053.2687       -768.83282       -2713.1104        6686.6772
         6.000005         6.000005       -1053.2687       -2894.3398       -2894.3398         9103.916
        12.666675         6.000005       -1053.2687       -2601.0122       -404.36392        3576.3091
        19.333345         6.000005       -1053.2687                0                0                0
